epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,198.692,0.77558,0.67026,1.07245,0.99719,1,0.995,0.88545,0.49647,0.36378,0.90939,0.000709809,0.000709809,0.000709809
118,200.176,0.75991,0.60385,1.03981,0.99754,1,0.995,0.8919,0.46059,0.36186,0.90038,0.000701557,0.000701557,0.000701557
119,201.703,0.77721,0.63994,1.12874,0.99747,1,0.995,0.89825,0.4377,0.34788,0.87854,0.000693305,0.000693305,0.000693305
120,203.223,0.68368,0.61158,1.07596,0.99738,1,0.995,0.8818,0.46172,0.31923,0.88037,0.000685054,0.000685054,0.000685054
121,204.745,0.79971,0.61579,1.06328,0.99747,1,0.995,0.88502,0.45545,0.31672,0.87747,0.000676802,0.000676802,0.000676802
122,206.291,0.76485,0.61093,1.06187,0.99777,1,0.995,0.89591,0.43353,0.31767,0.87095,0.00066855,0.00066855,0.00066855
123,207.753,0.7476,0.63431,1.04939,0.99807,1,0.995,0.89598,0.40899,0.3265,0.8653,0.000660299,0.000660299,0.000660299
124,209.459,0.71055,0.69061,1.05803,0.99875,1,0.995,0.89056,0.39761,0.32393,0.85786,0.000652047,0.000652047,0.000652047
125,210.983,0.84861,0.69427,1.0762,0.99883,1,0.995,0.90783,0.38496,0.31026,0.85609,0.000643795,0.000643795,0.000643795
126,212.528,0.8063,0.71187,1.06146,0.99891,1,0.995,0.90857,0.38003,0.30758,0.85261,0.000635544,0.000635544,0.000635544
127,214.167,0.7566,0.55062,1.04714,0.99895,1,0.995,0.90783,0.38863,0.29503,0.84962,0.000627292,0.000627292,0.000627292
128,215.811,0.87973,0.64978,1.23083,0.9991,1,0.995,0.90881,0.3851,0.30366,0.84719,0.00061904,0.00061904,0.00061904
129,217.434,0.74353,0.6092,1.05384,0.99899,1,0.995,0.90332,0.40004,0.28897,0.85461,0.000610789,0.000610789,0.000610789
130,219.044,0.85031,0.82726,1.11417,0.99899,1,0.995,0.89815,0.44282,0.29342,0.86862,0.000602537,0.000602537,0.000602537
131,220.552,0.67953,0.54658,1.07548,0.99898,1,0.995,0.91068,0.45347,0.29981,0.87348,0.000594286,0.000594286,0.000594286
132,222.167,0.79982,0.6944,1.17538,0.99912,1,0.995,0.90449,0.47892,0.29906,0.88646,0.000586034,0.000586034,0.000586034
133,223.79,0.74842,0.67159,0.99833,0.99912,1,0.995,0.89115,0.47658,0.30103,0.88272,0.000577782,0.000577782,0.000577782
134,225.32,0.65836,0.57625,1.06351,0.99914,1,0.995,0.89188,0.47,0.30116,0.873,0.000569531,0.000569531,0.000569531
135,226.964,0.64749,0.52018,1.04281,0.99909,1,0.995,0.89457,0.45119,0.2939,0.85823,0.000561279,0.000561279,0.000561279
136,228.515,0.64511,0.52374,1.0059,0.98296,1,0.99485,0.91219,0.38537,0.29241,0.82935,0.000553027,0.000553027,0.000553027
137,230.101,0.75558,0.73471,1.10284,0.99874,1,0.995,0.91556,0.37914,0.29459,0.82822,0.000544776,0.000544776,0.000544776
138,231.633,0.66314,0.56732,1.01256,0.99758,1,0.995,0.91419,0.38107,0.27975,0.82945,0.000536524,0.000536524,0.000536524
139,233.159,0.70007,0.57057,1.05882,0.99361,1,0.995,0.91276,0.40316,0.28278,0.84034,0.000528272,0.000528272,0.000528272
140,235.065,1.05618,0.77648,1.40229,0.98299,1,0.99485,0.86744,0.52302,0.32197,0.88939,0.000520021,0.000520021,0.000520021
